,Año,Trimestre,Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
0,2014,1,7897980,1065834,30917,567500
1,2014,2,7872511,1073038,31339,572106
2,2014,3,7924613,1091747,32516,564485
3,2014,4,7989623,1106502,33139,560488
4,2015,1,8358053,1134427,36888,556853
5,2015,2,8291156,1103025,34419,562590
6,2015,3,8364541,1095767,35230,555079
7,2015,4,8380800,1003363,35161,556474
8,2016,1,8950226,721226,37841,530088
9,2016,2,9037000,759247,38093,545409
10,2016,3,8829818,724585,37068,539018
11,2016,4,8971186,721607,37856,530163
12,2017,1,8950226,721226,37841,530088
13,2017,2,9037000,759247,38093,545409
14,2017,3,8829818,724585,37068,539018
15,2017,4,8971186,721607,37856,530163
16,2018,1,8490573,711654,37447,427247
17,2018,2,8638311,712144,38473,314771
18,2018,3,8656721,709503,38828,289936
19,2018,4,8764892,715700,39825,285500
20,2019,1,7360178,655594,34826,276802
21,2019,2,7177951,640458,34264,277310
22,2019,3,7069250,619801,34329,169309
23,2019,4,6942553,618847,34546,166866
24,2020,1,6778310,605915,33415,137990
25,2020,2,6694729,598402,34391,135735
26,2020,3,6712162,542624,36283,141479
27,2020,4,6621370,579315,34155,129192
28,2021,1,6459673,557287,34041,149460
29,2021,2,6378508,545706,34144,123358
30,2021,3,6311742,536500,34225,120836
31,2021,4,6933738,538714,34262,119641
32,2022,1,6984398,529745,34087,116624
33,2022,2,6960775,524421,34151,113727
34,2022,3,6880892,503266,33107,108679
