,anio,trimestre,ingresos (miles de pesos),periodo
0,2022,3,67055930,20223
1,2022,2,60335724,20222
2,2022,1,55589997,20221
3,2021,4,45467887,20214
4,2021,3,42999944,20213
5,2021,2,38239667,20212
6,2021,1,36676371,20211
7,2020,4,33539703,20204
8,2020,3,31997445,20203
9,2020,2,32102476,20202
10,2020,1,29946216,20201
11,2019,4,24169251,20194
12,2019,3,21652748,20193
13,2019,2,20743118,20192
14,2019,1,20207414,20191
15,2018,4,16637687,20184
16,2018,3,15410981,20183
17,2018,2,14319467,20182
18,2018,1,13171459,20181
19,2017,4,11226127,20174
20,2017,3,10065998,20173
21,2017,2,9678647,20172
22,2017,1,8701201,20171
23,2016,4,7483980,20164
24,2016,3,6912442,20163
25,2016,2,6534241,20162
26,2016,1,5936845,20161
27,2015,4,5376899,20154
28,2015,3,5153739,20153
29,2015,2,4701791,20152
30,2015,1,4876385,20151
31,2014,4,3950441,20144
32,2014,3,3478638,20143
33,2014,2,3270816,20142
34,2014,1,2984054,20141
